shell_z,sum_cos,sum_sin,N_kept,N_total,decimate_k,plv,mu,shell_index
1,0.0,0.0,0,1,25,,0.0,1
2,0.0,0.0,0,1,25,,0.0,2
3,0.0,0.0,0,1,25,,0.0,3
4,0.0,0.0,0,2,25,,0.0,4
5,0.0,0.0,0,2,25,,0.0,5
6,0.0,0.0,0,3,25,,0.0,6
7,0.0,0.0,0,4,25,,0.0,7
8,0.0,0.0,0,7,25,,0.0,8
9,0.0,0.0,0,9,25,,0.0,9
10,0.0,0.0,0,16,25,,0.0,10
11,0.0,0.0,0,20,25,,0.0,11
12,0.1415633352890313,-0.989929200550143,1,32,25,0.9999999999999999,278.13831982773434,12
13,-0.9615331598424334,-0.2746888831449598,1,48,25,0.9999999999999999,195.94347449337064,13
14,-0.963661859903804,-0.3664483705936275,2,72,25,0.5154921407121508,200.8201349693466,14
15,-0.4890470325933054,-0.4000539270053492,4,110,25,0.1579576969873419,219.28411053744006,15
16,-0.7568055745308555,-0.3961331001627859,6,172,25,0.14236846860304642,207.6288118059138,16
17,-0.2956726023332368,-0.8403560785834079,10,257,25,0.08908538749888173,250.61598424676396,17
18,0.3253108042132594,-1.0344557201092073,16,401,25,0.06777506905325859,287.45707543407934,18
19,-0.1953674439876954,-1.9310286307234976,24,608,25,0.08087026659302325,264.22288724097245,19
20,0.5970944039175282,-2.911379758266172,38,950,25,0.07820994998739106,281.5900659006962,20
21,-1.027557681378487,-4.228927671248016,57,1448,25,0.07635047414513857,256.34276969144923,21
22,0.1852194459773778,-6.6624069261882335,90,2256,25,0.07405534491366986,271.59245148503214,22
23,-0.2096865315041449,-9.81804374237318,139,3487,25,0.07064951548328735,268.7765050341569,23
24,-0.3139688459168132,-15.14252661315474,216,5413,25,0.07011935748505287,268.81218550879726,24
25,1.374112293866098,-23.090406725237617,337,8440,25,0.0686387458932343,273.4056607345502,25
26,1.373993124194122,-35.852586455796896,524,13118,25,0.06847119244694873,272.1946952393557,26
27,4.362865959073179,-56.89091205884558,819,20478,25,0.06966783534940739,274.3853311422796,27
28,5.787702414330822,-88.91082934238051,1277,31932,25,0.06977212775365679,273.72444749295994,28
29,11.069467282748416,-140.94502084345288,1999,49995,25,0.07072488076963433,274.4906485123087,29
30,16.99895891452056,-223.3654711937794,3128,78223,25,0.07161489127315954,274.3520368865089,30
31,26.385653171588405,-348.9956993874935,4902,122553,25,0.0713977387700715,274.32359461298313,31
32,41.02151281987083,-552.6420709436957,7690,192262,25,0.07206273756770118,274.2451655872761,32
33,65.03563259402237,-865.9874834310177,12073,301826,25,0.0719312628788147,274.2948490122089,33
34,89.91902588426555,-1360.84833940721,18961,474039,25,0.07192742133000926,273.7803642501685,34
35,156.9525764686011,-2144.007603917145,29830,745772,25,0.07206653713515368,274.18688237859516,35
36,231.0967747507219,-3370.0053674576434,46930,1173270,25,0.07197783419277833,273.92289382872315,36
37,375.4240876537796,-5316.264456878137,73920,1848001,25,0.07209826603130973,274.0394088864541,37
38,14977.26028765986,18819.82562277479,27449,686226,25,0.8762473484026386,51.48639991721295,38
