n,p_approx,theta_rad,theta_deg
1000000000,20723265836.94641,2.2868486991248798,131.02677884483825
1000010000,20723483069.654778,2.2869855691414673,131.0346209191306
1000020000,20723700302.46315,2.2871224377863455,131.0424629148298
1000030000,20723917535.371513,2.2872593050594703,131.05030483193332
1000040000,20724134768.379875,2.287396170960976,131.05814667044882
1000050000,20724352001.48824,2.287533035490906,131.06598843037887
1000060000,20724569234.69659,2.2876698986491717,131.07383011171834
1000070000,20724786468.00494,2.287806760435818,131.0816717144698
1000080000,20725003701.41328,2.287943620850934,131.08951323863835
1000090000,20725220934.921616,2.28808047989452,131.097354684224
1000100000,20725438168.529938,2.28821733756662,131.1051960512293
1000110000,20725655402.23825,2.2883541938672343,131.11303733965428
1000120000,20725872636.04656,2.2884910487964074,131.12087854950147
1000130000,20726089869.95485,2.2886279023541842,131.12871968077343
1000140000,20726307103.963123,2.28876475454052,131.1365607334676
1000150000,20726524338.071392,2.2889016053555484,131.14440170759167
1000160000,20726741572.27964,2.289038454799225,131.15224260314307
1000170000,20726958806.58787,2.2891753028715502,131.1600834201218
1000180000,20727176040.996086,2.2893121495726576,131.16792415853553
1000190000,20727393275.504288,2.2894489949025023,131.1757648183817
1000200000,20727610510.112465,2.289585838861085,131.18360539966034
1000210000,20727827744.820625,2.289722681448494,131.19144590237653
1000220000,20728044979.628765,2.2898595226647296,131.19928632653028
1000230000,20728262214.53688,2.289996362509837,131.20712667212416
1000240000,20728479449.544975,2.2901332009837714,131.2149669391556
1000250000,20728696684.65304,2.2902700380866663,131.22280712763228
1000260000,20728913919.861088,2.290406873818477,131.23064723755164
1000270000,20729131155.169106,2.290543708179294,131.2384872689188
1000280000,20729348390.577095,2.290680541169026,131.24632722172862
1000290000,20729565626.08506,2.2908173727878536,131.25416709599136
1000300000,20729782861.692997,2.290954203035686,131.2620068917019
1000310000,20730000097.400898,2.291091031912658,131.2698466088679
1000320000,20730217333.20877,2.29122785941868,131.27768624748427
1000330000,20730434569.116615,2.2913646855538414,131.2855258075561
1000340000,20730651805.124424,2.2915015103181866,131.29336528908595
1000350000,20730869041.232197,2.291638333711671,131.30120469207128
1000360000,20731086277.439938,2.2917751557344292,131.30904401651975
1000370000,20731303513.74764,2.2919119763864155,131.3168832624288
1000380000,20731520750.155308,2.292048795667586,131.32472242979588
1000390000,20731737986.662933,2.292185613578119,131.33256151863122
1000400000,20731955223.270523,2.2923224301180145,131.34040052893482
1000410000,20732172459.978073,2.2924592452871835,131.34823946070156
1000420000,20732389696.785583,2.292596059085804,131.35607831394168
1000430000,20732606933.693047,2.2927328715137874,131.36391708865006
1000440000,20732824170.700474,2.2928696825711774,131.37175578482925
1000450000,20733041407.80785,2.2930064922580646,131.37959440248437
1000460000,20733258645.015186,2.2931433005744477,131.38743294161543
1000470000,20733475882.322475,2.2932801075203275,131.39527140222242
1000480000,20733693119.729717,2.293416913095704,131.40310978430534
1000490000,20733910357.23691,2.2935537173007554,131.41094808787443
1000500000,20734127594.844055,2.293690520135348,131.418786312922
1000510000,20734344832.55115,2.2938273215995264,131.42662445945064
1000520000,20734562070.358192,2.293964121693424,131.43446252746799
1000530000,20734779308.265186,2.2941009204169527,131.44230051696894
1000540000,20734996546.272125,2.2942377177702453,131.45013842796118
1000550000,20735213784.37901,2.294374513753213,131.45797626043958
1000560000,20735431022.58584,2.29451130836599,131.46581401441182
1000570000,20735648260.892612,2.2946481016085314,131.47365168987534
1000580000,20735865499.29933,2.2947848934808817,131.4814892868327
1000590000,20736082737.80599,2.2949216839830853,131.48932680528645
1000600000,20736299976.41259,2.2950584731151875,131.49716424523916
1000610000,20736517215.11913,2.2951952608771435,131.50500160668827
1000620000,20736734453.92561,2.295332047269042,131.51283888963889
1000630000,20736951692.832024,2.2954688322909282,131.52067609409357
1000640000,20737168931.83838,2.2956056159427574,131.52851322004977
1000650000,20737386170.944668,2.2957423982245744,131.53635026751004
1000660000,20737603410.150894,2.295879179136468,131.5441872364795
1000670000,20737820649.457054,2.2960159586784386,131.55202412695814
1000680000,20738037888.863148,2.2961527368504857,131.55986093894597
1000690000,20738255128.36917,2.296289513652655,131.56769767244555
1000700000,20738472367.975124,2.296426289084945,131.57553432745686
1000710000,20738689607.68101,2.296563063147402,131.58337090398248
1000720000,20738906847.486828,2.296699835840069,131.59120740202496
1000730000,20739124087.39257,2.2968366071629918,131.59904382158686
1000740000,20739341327.39824,2.2969733771161254,131.60688016266562
1000750000,20739558567.503834,2.297110145699604,131.6147164252689
1000760000,20739775807.709354,2.2972469129133377,131.62255260939162
1000770000,20739993048.0148,2.297383678757461,131.63038871504142
1000780000,20740210288.420166,2.297520443231884,131.6382247422132
1000790000,20740427528.925457,2.297657206336741,131.64606069091462
1000800000,20740644769.53067,2.2977939680720327,131.6538965611457
1000810000,20740862010.2358,2.2979307284377133,131.66173235290387
1000820000,20741079251.04085,2.2980674874339173,131.6695680661968
1000830000,20741296491.94582,2.2982042450606444,131.6774037010245
1000840000,20741513732.950703,2.2983410013178505,131.6852392573844
1000850000,20741730974.055504,2.2984777562056244,131.69307473528164
1000860000,20741948215.26022,2.2986145097240107,131.70091013471875
1000870000,20742165456.56485,2.2987512618729653,131.7087454556932
1000880000,20742382697.969395,2.298888012652622,131.71658069821262
1000890000,20742599939.47385,2.2990247620628907,131.72441586227194
1000900000,20742817181.078217,2.299161510103817,131.7322509478737
1000910000,20743034422.782494,2.299298256775579,131.74008595502812
1000920000,20743251664.58668,2.2994350020779986,131.747920883725
1000930000,20743468906.490772,2.2995717460112086,131.75575573397197
1000940000,20743686148.494774,2.2997084885752552,131.76359050577162
1000950000,20743903390.598682,2.2998452297700926,131.77142519912138
1000960000,20744120632.802494,2.2999819695958106,131.77925981402637
1000970000,20744337875.10621,2.3001187080524534,131.78709435048916
1000980000,20744555117.50983,2.3002554451399324,131.7949288085046
1000990000,20744772360.01335,2.300392180858381,131.8027631880804
1001000000,20744989602.61677,2.300528915207844,131.8105974892191
1001010000,20745206845.3201,2.3006656481882324,131.8184317119156
1001020000,20745424088.123318,2.300802379799724,131.8262658561801
1001030000,20745641331.02644,2.300939110042186,131.83409992200495
1001040000,20745858574.029457,2.301075838915796,131.84193390940038
1001050000,20746075817.132366,2.3012125664204204,131.8497678183587
1001060000,20746293060.33518,2.3013492925562375,131.85760164889018
1001070000,20746510303.63788,2.3014860173232035,131.86543540099223
1001080000,20746727547.040474,2.3016227407213172,131.87326907466485
1001090000,20746944790.542965,2.3017594627507583,131.88110266991828
1001100000,20747162034.14534,2.3018961834113476,131.88893618674228
1001110000,20747379277.84761,2.3020329027032194,131.89676962514454
1001120000,20747596521.649765,2.302169620626373,131.90460298512505
1001130000,20747813765.55181,2.302306337180854,131.91243626668637
1001140000,20748031009.553745,2.3024430523667063,131.92026946983106
1001150000,20748248253.655563,2.3025797661839746,131.92810259456166
1001160000,20748465497.85727,2.3027164786326146,131.93593564087564
1001170000,20748682742.15886,2.302853189712671,131.94376860877554
1001180000,20748899986.56033,2.302989899424188,131.95160149826393
1001190000,20749117231.061684,2.303126607767211,131.95943430934335
1001200000,20749334475.662918,2.303263314741739,131.96726704201382
1001210000,20749551720.364033,2.3034000203478175,131.97509969627788
1001220000,20749768965.16503,2.3035367245854457,131.98293227213554
1001230000,20749986210.065903,2.3036734274547137,131.99076476959192
1001240000,20750203455.06665,2.3038101289555764,131.99859718864445
1001250000,20750420700.167274,2.3039468290880785,132.0064295292957
1001260000,20750637945.367775,2.3040835278523093,132.01426179155078
1001270000,20750855190.66815,2.304220225248224,132.02209397540713
1001280000,20751072436.068398,2.3043569212758674,132.0299260808673
1001290000,20751289681.56852,2.30449361593524,132.03775810793132
1001300000,20751506927.16851,2.30463030922643,132.04559005660428
1001310000,20751724172.868374,2.304767001149483,132.05342192688875
1001320000,20751941418.668102,2.3049036917043098,132.0612537187796
1001330000,20752158664.567703,2.305040380891043,132.0690854322845
1001340000,20752375910.56717,2.3051770687096393,132.07691706740093
1001350000,20752593156.666504,2.3053137551601877,132.08474862413397
1001360000,20752810402.8657,2.305450440242688,132.09258010248362
1001370000,20753027649.16476,2.3055871239571846,132.10041150245246
1001380000,20753244895.563686,2.305723806303678,132.10824282404047
1001390000,20753462142.062473,2.305860487282213,132.11607406725022
1001400000,20753679388.661125,2.3059971668927886,132.1239052320817
1001410000,20753896635.35963,2.30613384513545,132.1317363185375
1001420000,20754113882.157997,2.306270522010287,132.13956732662268
1001430000,20754331129.056225,2.3064071975172546,132.14739825633472
1001440000,20754548376.054306,2.3065438716563524,132.15522910767362
1001450000,20754765623.15225,2.30668054442767,132.16305988064448
1001460000,20754982870.35004,2.306817215831163,132.17089057524475
1001470000,20755200117.64769,2.3069538858670096,132.17872119148467
1001480000,20755417365.045193,2.3070905545350313,132.186551729354
1001490000,20755634612.542545,2.307227221835407,132.19438218886296
1001500000,20755851860.13975,2.307363887768181,132.20221257001413
1001510000,20756069107.836807,2.307500552333264,132.21004287280238
1001520000,20756286355.633713,2.307637215530701,132.21787309723027
1001530000,20756503603.530464,2.307773877360625,132.22570324330547
1001540000,20756720851.527065,2.307910537822948,132.23353331102288
1001550000,20756938099.623512,2.3080471969178036,132.24136330039016
1001560000,20757155347.8198,2.3081838546451015,132.2491932114022
1001570000,20757372596.11594,2.3083205110049323,132.2570230440641
1001580000,20757589844.51192,2.3084571659972952,132.2648527983759
1001590000,20757807093.00774,2.3085938196222795,132.27268247434267
1001600000,20758024341.6034,2.3087304718798856,132.28051207196444
1001610000,20758241590.298904,2.308867122770158,132.28834159124375
1001620000,20758458839.094246,2.3090037722930075,132.2961710321755
1001630000,20758676087.98943,2.3091404204485677,132.30400039476734
1001640000,20758893336.984447,2.3092770672368834,132.31182967902186
1001650000,20759110586.0793,2.30941371265791,132.31965888493647
1001660000,20759327835.27399,2.309550356711737,132.3274880125163
1001670000,20759545084.568512,2.309686999398364,132.33531706176137
1001680000,20759762333.96287,2.3098236407177914,132.34314603267165
1001690000,20759979583.45706,2.3099602806701083,132.35097492525227
1001700000,20760196833.051083,2.31009691925527,132.35880373950067
1001710000,20760414082.74493,2.31023355647341,132.36663247542452
1001720000,20760631332.538612,2.3103701923244397,132.3744611330187
1001730000,20760848582.43212,2.3105068268084485,132.38228971228835
1001740000,20761065832.425457,2.310643459925436,132.39011821323345
1001750000,20761283082.51862,2.3107800916754466,132.39794663585656
1001760000,20761500332.711605,2.3109167220585256,132.40577498016023
1001770000,20761717583.004417,2.311053351074628,132.41360324614192
1001780000,20761934833.397053,2.3111899787238874,132.4214314338093
1001790000,20762152083.889507,2.311326605006215,132.42925954315723
1001800000,20762369334.48179,2.311463229921745,132.4370875741934
1001810000,20762586585.173885,2.3115998534704767,132.44491552691784
1001820000,20762803835.965805,2.3117364756524106,132.4527434013305
1001830000,20763021086.85754,2.3118730964675014,132.46057119742886
1001840000,20763238337.849094,2.312009715915973,132.4683989152257
1001850000,20763455588.940464,2.3121463339976467,132.47622655471076
1001860000,20763672840.13165,2.3122829507127007,132.4840541158943
1001870000,20763890091.42265,2.3124195660610463,132.49188159877122
1001880000,20764107342.813465,2.312556180042817,132.49970900334915
1001890000,20764324594.30409,2.3126927926579683,132.50753632962557
1001900000,20764541845.894527,2.312829403906545,132.515363577603
1001910000,20764759097.584774,2.312966013788636,132.5231907472866
1001920000,20764976349.37483,2.3131026223041076,132.53101783866867
1001930000,20765193601.264698,2.313239229453183,132.538844851762
1001940000,20765410853.254368,2.3133758352357727,132.5466717865615
1001950000,20765628105.343845,2.313512439651877,132.55449864306712
1001960000,20765845357.53313,2.31364904270163,132.56232542128657
1001970000,20766062609.82222,2.3137856443849865,132.5701521212173
1001980000,20766279862.21111,2.3139222447019914,132.57797874286183
1001990000,20766497114.699806,2.3140588436526897,132.58580528622275
1002000000,20766714367.288303,2.3141954412370365,132.5936317512975
1002010000,20766931619.976597,2.3143320374551655,132.60145813809373
1002020000,20767148872.764694,2.3144686323070323,132.6092844466089
1002030000,20767366125.652588,2.3146052257926812,132.61711067684558
1002040000,20767583378.640278,2.3147418179121124,132.62493682880375
1002050000,20767800631.727764,2.3148784086654604,132.6327629024911
1002060000,20768017884.91505,2.3150149980525905,132.64058889789993
1002070000,20768235138.20213,2.3151515860736818,132.6484148150405
1002080000,20768452391.588997,2.3152881727286445,132.65624065390767
1002090000,20768669645.07566,2.315424758017568,132.66406641450658
1002100000,20768886898.662117,2.3155613419404975,132.67189209683977
1002110000,20769104152.348362,2.3156979244973876,132.6797177009047
1002120000,20769321406.134396,2.3158345056883283,132.68754322670645
1002130000,20769538660.02022,2.3159710855133637,132.69536867424762
1002140000,20769755914.00583,2.3161076639724048,132.70319404352307
1002150000,20769973168.09123,2.31624424106563,132.71101933454304
1002160000,20770190422.27641,2.3163808167929503,132.7188445473024
1002170000,20770407676.56138,2.3165173911544543,132.7266696818063
1002180000,20770624930.94613,2.316653964150143,132.7344947380547
1002190000,20770842185.430664,2.31679053578006,132.7423197160502
1002200000,20771059440.014977,2.316927106044251,132.7501446157953
1002210000,20771276694.69907,2.3170636749426703,132.7579694372875
1002220000,20771493949.482944,2.3172002424754083,132.76579418053188
1002230000,20771711204.366596,2.3173368086425086,132.77361884553102
1002240000,20771928459.35003,2.317473373443927,132.78144343228234
1002250000,20772145714.433235,2.3176099368797085,132.78926794078842
1002260000,20772362969.61622,2.3177464989499867,132.79709237105692
1002270000,20772580224.898975,2.317883059654627,132.80491672308017
1002280000,20772797480.281506,2.3180196189937647,132.81274099686584
1002290000,20773014735.763805,2.318156176967399,132.82056519241394
1002300000,20773231991.345882,2.3182927335755745,132.82838930972702
1002310000,20773449247.02773,2.3184292888182467,132.83621334880252
1002320000,20773666502.80934,2.3185658426955493,132.84403730964812
1002330000,20773883758.690723,2.3187023952073935,132.8518611922587
1002340000,20774101014.671875,2.318838946353913,132.85968499664193
1002350000,20774318270.752796,2.3189754961350633,132.86750872279526
1002360000,20774535526.933475,2.3191120445509332,132.8753323707238
1002370000,20774752783.21392,2.3192485916014784,132.883155940425
1002380000,20774970039.594135,2.319385137286788,132.890979431904
1002390000,20775187296.07411,2.319521681606818,132.89880284515817
1002400000,20775404552.653843,2.3196582245617012,132.90662618019525
1002410000,20775621809.33334,2.3197947661513942,132.91444943701265
1002420000,20775839066.112595,2.319931306375896,132.92227261561038
1002430000,20776056322.991608,2.320067845235341,132.93009571599612
1002440000,20776273579.97038,2.3202043827296404,132.93791873816474
1002450000,20776490837.04891,2.320340918858882,132.94574168212137
1002460000,20776708094.22719,2.3204774536230675,132.953564547866
1002470000,20776925351.505226,2.3206139870222855,132.96138733540374
1002480000,20777142608.88302,2.320750519056491,132.96921004473205
1002490000,20777359866.360565,2.320887049725684,132.97703267585092
1002500000,20777577123.937862,2.321023579029999,132.98485522876803
1002510000,20777794381.614906,2.321160106969391,132.9926777034808
1002520000,20778011639.391705,2.3212966335439496,133.00050009999438
1002530000,20778228897.268246,2.321433158753585,133.00832241830364
1002540000,20778446155.244537,2.3215696825984313,133.01614465841624
1002550000,20778663413.32058,2.3217062050784443,133.02396682032963
1002560000,20778880671.496365,2.3218427261937573,133.0317889040515
1002570000,20779097929.771893,2.3219792459442816,133.0396109095767
1002580000,20779315188.147167,2.322115764330106,133.0474328369104
1002590000,20779532446.62218,2.322252281351231,133.05525468605254
1002600000,20779749705.196938,2.3223887970077004,133.0630764570057
1002610000,20779966963.871437,2.3225253112995596,133.07089814977246
1002620000,20780184222.645676,2.322661824226764,133.07871976435024
1002630000,20780401481.519653,2.3227983357894026,133.08654130074416
1002640000,20780618740.493366,2.3229348459875196,133.09436275895678
1002650000,20780835999.56682,2.3230713548210713,133.10218413898554
1002660000,20781053258.74,2.3232078622901464,133.11000544083555
1002670000,20781270518.012924,2.32334436839479,133.11782666450938
1002680000,20781487777.38558,2.323480873134912,133.1256478100019
1002690000,20781705036.857967,2.3236173765106916,133.13346887732337
1002700000,20781922296.430084,2.323753878522039,133.14128986646864
1002710000,20782139556.101936,2.323890379169044,133.14911077744284
1002720000,20782356815.873516,2.324026878451707,133.15693161024598
1002730000,20782574075.744823,2.324163376370072,133.1647523648806
1002740000,20782791335.715862,2.324299872924183,133.17257304134927
1002750000,20783008595.786625,2.324436368113997,133.18039363964942
1002760000,20783225855.95711,2.3245728619395574,133.18821415978363
1002770000,20783443116.22733,2.3247093544009982,133.19603460175955
1002780000,20783660376.597263,2.324845845498231,133.20385496557208
1002790000,20783877637.066925,2.324982335231344,133.21167525122632
1002800000,20784094897.636307,2.325118823600293,133.21949545871973
1002810000,20784312158.30541,2.325255310605212,133.22731558805998
1002820000,20784529419.074234,2.3253917962460564,133.2351356392445
1002830000,20784746679.942772,2.3255282805227817,133.24295561227075
1002840000,20784963940.911034,2.3256647634356105,133.2507755071515
1002850000,20785181201.97901,2.3258012449844094,133.2585953238791
1002860000,20785398463.1467,2.325937725169223,133.26641506245608
1002870000,20785615724.41411,2.3260742039901854,133.27423472289013
1002880000,20785832985.781227,2.3262106814472068,133.28205430517613
1002890000,20786050247.24806,2.3263471575403765,133.2898738093192
1002900000,20786267508.814606,2.3264836322697398,133.2976932353219
1002910000,20786484770.48086,2.326620105635207,133.3055125831791
1002920000,20786702032.24683,2.3267565776369117,133.3133318528985
1002930000,20786919294.1125,2.3268930482748544,133.32115104448008
1002940000,20787136556.077885,2.327029517549124,133.32897015792895
1002950000,20787353818.142975,2.327165985459587,133.33678919323745
1002960000,20787571080.307766,2.327302452006422,133.3446081504158
1002970000,20787788342.572266,2.3274389171896286,133.35242702946402
1002980000,20788005604.93647,2.3275753810091624,133.36024583037954
1002990000,20788222867.40038,2.3277118434651123,133.36806455316747
1003000000,20788440129.963985,2.3278483045575236,133.37588319783038
1003010000,20788657392.6273,2.327984764286351,133.3837017643657
1003020000,20788874655.39031,2.3281212226516845,133.39152025277855
1003030000,20789091918.253014,2.3282576796534786,133.39933866306637
1003040000,20789309181.21542,2.3283941352918682,133.40715699523685
1003050000,20789526444.277527,2.3285305895668076,133.4149752492874
1003060000,20789743707.439323,2.3286670424783424,133.42279342522062
1003070000,20789960970.700817,2.3288034940264724,133.43061152303648
1003080000,20790178234.062004,2.3289399442112413,133.43842954273754
1003090000,20790395497.52289,2.32907639303274,133.44624748432892
1003100000,20790612761.08346,2.3292128404909223,133.45406534780807
1003110000,20790830024.743725,2.329349286585834,133.46188313317754
1003120000,20791047288.503677,2.3294857313174293,133.46970084043477
1003130000,20791264552.36332,2.329622174685888,133.47751846959
1003140000,20791481816.32265,2.3297586166911204,133.4853360206381
1003150000,20791699080.381668,2.329895057333215,133.4931534935842
1003160000,20791916344.54037,2.330031496612173,133.5009708884283
1003170000,20792133608.798763,2.330167934527994,133.5087882051704
1003180000,20792350873.156834,2.330304371080767,133.5166054438156
1003190000,20792568137.61459,2.330440806270447,133.52442260436135
1003200000,20792785402.172028,2.3305772400971247,133.53223968681277
1003210000,20793002666.829147,2.3307136725607984,133.54005669116987
1003220000,20793219931.585945,2.330850103661514,133.5478736174352
1003230000,20793437196.44242,2.3309865333992708,133.55569046560873
1003240000,20793654461.39858,2.331122961774114,133.56350723569307
1003250000,20793871726.454414,2.3312593887860875,133.57132392769074
1003260000,20794088991.60992,2.3313958144351474,133.5791405415992
1003270000,20794306256.865105,2.331532238721383,133.58695707742356
1003280000,20794523522.219963,2.331668661644838,133.59477353516638
1003290000,20794740787.67449,2.3318050832055133,133.60258991482766
1003300000,20794958053.2287,2.3319415034034083,133.6104062164074
1003310000,20795175318.882572,2.332077922238613,133.6182224399107
1003320000,20795392584.636116,2.3322143397110375,133.62603858533248
1003330000,20795609850.48933,2.3323507558209053,133.6338546526855
1003340000,20795827116.44221,2.332487170568038,133.64167064195954
1003350000,20796044382.494762,2.3326235839525244,133.6494865531597
1003360000,20796261648.646973,2.3327599959744987,133.65730238629368
1003370000,20796478914.898853,2.3328964066338713,133.66511814135634
1003380000,20796696181.250397,2.3330328159307325,133.67293381835282
1003390000,20796913447.701603,2.333169223865081,133.6807494172831
1003400000,20797130714.252476,2.3333056304369175,133.68856493814718
1003410000,20797347980.903008,2.3334420356462866,133.69638038094763
1003420000,20797565247.653194,2.333578439493278,133.70419574568956
1003430000,20797782514.503044,2.3337148419778457,133.7120110323704
1003440000,20797999781.452553,2.3338512431000358,133.71982624099275
1003450000,20798217048.50172,2.3339876428598925,133.72764137155912
1003460000,20798434315.65054,2.3341240412574153,133.73545642406953
1003470000,20798651582.899017,2.3342604382926493,133.74327139852653
1003480000,20798868850.24715,2.3343968339656387,133.7510862949327
1003490000,20799086117.69493,2.3345332282763396,133.75890111328545
1003500000,20799303385.242367,2.3346696212248856,133.76671585359247
1003510000,20799520652.889458,2.334806012811232,133.7745305158512
1003520000,20799737920.636196,2.3349424030353787,133.78234510006166
1003530000,20799955188.482582,2.335078791897415,133.79015960622894
1003540000,20800172456.428616,2.335215179397386,133.7979740343556
1003550000,20800389724.4743,2.3353515655352464,133.8057883844391
1003560000,20800606992.619625,2.335487950311041,133.81360265648198
1003570000,20800824260.8646,2.3356243337248594,133.82141685048936
1003580000,20801041529.20922,2.3357607157767015,133.82923096646124
1003590000,20801258797.65348,2.3358970964665224,133.83704500439507
1003600000,20801476066.197384,2.3360334757944563,133.8448589642985
1003610000,20801693334.840927,2.3361698537604587,133.852672846169
1003620000,20801910603.584114,2.3363062303645292,133.86048665000658
1003630000,20802127872.426937,2.336442605606802,133.86830037581888
1003640000,20802345141.3694,2.336578979487232,133.87611402360335
1003650000,20802562410.411503,2.33671535200582,133.88392759336
1003660000,20802779679.55324,2.3368517231626544,133.89174108509394
1003670000,20802996948.79461,2.3369880929577804,133.89955449880773
1003680000,20803214218.13562,2.3371244613911535,133.9073678344988
1003690000,20803431487.57626,2.337260828462818,133.91518109216975
1003700000,20803648757.116528,2.3373971941728184,133.9229942718231
1003710000,20803866026.756435,2.337533558521155,133.93080737345883
1003720000,20804083296.495968,2.3376699215079175,133.9386203970821
1003730000,20804300566.33513,2.337806283133105,133.9464333426929
1003740000,20804517836.27392,2.337942643396718,133.95424621029122
1003750000,20804735106.31234,2.338079002298801,133.96205899987962
1003760000,20804952376.450386,2.3382153598393542,133.9698717114581
1003770000,20805169646.688057,2.338351716018467,133.97768434503178
1003780000,20805386917.025352,2.338488070836139,133.98549690060065
1003790000,20805604187.46227,2.3386244242923255,133.99330937816217
1003800000,20805821457.99881,2.338760776387116,134.00112177772144
1003810000,20806038728.63497,2.3388971271206,134.00893409928358
1003820000,20806255999.370758,2.3390334764927325,134.01674634284603
1003830000,20806473270.206158,2.339169824503514,134.0245585084088
1003840000,20806690541.14118,2.339306171153033,134.032370595977
1003850000,20806907812.17582,2.33944251644129,134.04018260555063
1003860000,20807125083.310074,2.33957886036833,134.04799453713224
1003870000,20807342354.54394,2.339715202934152,134.05580639072184
1003880000,20807559625.877426,2.3398515441388015,134.063618166322
1003890000,20807776897.310524,2.339987883982234,134.07142986393012
1003900000,20807994168.843235,2.340124222464627,134.07924148355647
1003910000,20808211440.475555,2.340260559585892,134.08705302519593
1003920000,20808428712.20749,2.340396895346074,134.09486448885104
1003930000,20808645984.039032,2.3405332297452612,134.10267587452694
1003940000,20808863255.970184,2.3406695627833654,134.1104871822185
1003950000,20809080528.000942,2.3408058944605195,134.11829841193338
1003960000,20809297800.131306,2.34094222477668,134.12610956366905
1003970000,20809515072.36128,2.34107855373198,134.13392063743316
1003980000,20809732344.69085,2.3412148813262856,134.14173163321806
1003990000,20809949617.12003,2.341351207559731,134.1495425510314
1004000000,20810166889.648815,2.3414875324324056,134.1573533908783
1004010000,20810384162.277195,2.3416238559441753,134.16516415275112
1004020000,20810601435.005177,2.3417601780951296,134.17297483665493
1004030000,20810818707.83276,2.3418964988853572,134.18078544259487
1004040000,20811035980.759945,2.342032818314814,134.18859597056837
1004050000,20811253253.78672,2.342169136383589,134.19640642058056
1004060000,20811470526.913097,2.3423054530916376,134.20421679262887
1004070000,20811687800.13907,2.3424417684390497,134.21202708671842
1004080000,20811905073.464638,2.3425780824258244,134.21983730284921
1004090000,20812122346.889793,2.3427143950519618,134.22764744102125
1004100000,20812339620.414547,2.342850706317552,134.23545750123964
1004110000,20812556894.03889,2.342987016222594,134.24326748350438
1004120000,20812774167.762825,2.3431233247670438,134.25107738781293
1004130000,20812991441.586353,2.3432596319510353,134.25888721417294
1004140000,20813208715.509464,2.343395937774568,134.26669696258443
1004150000,20813425989.532166,2.3435322422376426,134.2745066330474
1004160000,20813643263.654453,2.343668545340303,134.2823162255644
1004170000,20813860537.876328,2.34380484708255,134.2901257401354
1004180000,20814077812.197784,2.3439411474644722,134.29793517676558
1004190000,20814295086.618828,2.3440774464860255,134.30574453545233
1004200000,20814512361.13945,2.3442137441472983,134.3135538162008
1004210000,20814729635.759655,2.3443500404482918,134.32136301901096
1004220000,20814946910.479446,2.344486335388961,134.32917214388027
1004230000,20815164185.298813,2.344622628969484,134.33698119081896
1004240000,20815381460.21776,2.344758921189727,134.34479015981935
1004250000,20815598735.236282,2.3448952120498685,134.35259905089168
1004260000,20815816010.35438,2.3450315015498195,134.36040786403083
1004270000,20816033285.57206,2.3451677896896697,134.36821659924192
1004280000,20816250560.88931,2.3453040764693736,134.37602525652238
1004290000,20816467836.306133,2.3454403618890654,134.3838338358799
1004300000,20816685111.822533,2.345576645948745,134.39164233731447
1004310000,20816902387.4385,2.345712928648324,134.39945076082097
1004320000,20817119663.154037,2.345849209988024,134.4072591064122
1004330000,20817336938.96915,2.345985489967713,134.41506737408048
1004340000,20817554214.88383,2.346121768587434,134.42287556382837
1004350000,20817771490.898075,2.3462580458473217,134.43068367566354
1004360000,20817988767.01189,2.3463943217472867,134.4384917095809
1004370000,20818206043.22527,2.3465305962874186,134.4462996655855
1004380000,20818423319.538216,2.3466668694677164,134.45410754367742
1004390000,20818640595.95072,2.346803141288226,134.46191534385918
1004400000,20818857872.46279,2.3469394117489912,134.46972306613333
